364967,22615,,
139856,20148,,
93231,17950,,
44175,15991,,
23667,14247,,
22424,22615,1,
21296,14247,1,
20950,22615,31,
19397,14247,31,
14907,12692,,
12087,22615,2,
11599,22615,0,
11454,14247,2,
11087,14247,0,
7137,11308,,
7097,22615,1000,
5816,22615,63,
5544,22615,500,
5117,22615,250,
5090,14247,63,
4827,8975,1,
4612,14247,1000,
4480,22615,16,
4210,8975,31,
3943,14247,16,
3822,22615,125,
3647,14247,500,
3571,10074,,
3186,14247,250,
2910,14247,125,
2801,22615,4,
2793,8975,0,
2655,14247,4,
2600,8975,2,
1866,8975,,
1679,22615,1000, 2
1432,20148,1000, 2
1380,22615,1000,-2
1330,22615,500, 2
1289,22615,2000, 2
1271,22615,500,-2
1179,20148,1000,-2
1157,8975,63,
1156,20148,2000, 2
1083,22615,250,-2
1077,22615,250, 2
1076,20148,500, 2
1034,22615,8,
1029,20148,500,-2
975,22615,31, 2
885,22615,31,-2
862,22615,1, 2
854,14247,8,
831,22615,1,-2
825,7996,,
819,8975,16,
805,20148,250,-2
795,20148,250, 2
749,17950,1000, 2
668,20148,1000, 1
633,22615,1000, 1
631,8975,500,
618,8975,4,
617,20148,1000,-1
616,17950,1000,-2
594,8975,125,
594,22615,1000,-1
591,5654,1,
588,17950,2000, 2
567,17950,1000, 1
564,22615,2000,-2
558,5654,0,
557,22615,31, 1
552,22615,125,-2
552,20148,2000, 1
539,22615,2000, 1
523,20148,2000,-2
521,17950,500, 2
520,8975,250,
514,17950,1000,-1
512,22615,1, 1
510,22615,125, 2
498,17950,500,-2
494,20148,500, 1
492,22615,0, 2
492,20148,500,-1
489,22615,63, 2
489,22615,31,-1
481,22615,1,-1
478,22615,2,-2
477,22615,500, 1
476,22615,500,-1
471,22615,63,-2
467,22615,2, 2
454,20148,31, 1
441,20148,2000,-1
439,22615,2000,-1
436,22615,0,-2
434,17950,2000, 1
434,5654,31,
429,15991,1000, 2
426,20148,125,-2
415,17950,500, 1
410,17950,500,-1
397,15991,1000, 1
396,20148,1, 1
395,22615,250,-1
393,20148,31,-1
388,20148,250,-1
378,22615,250, 1
373,20148,250, 1
371,20148,31, 2
370,20148,1,-1
365,20148,125, 2
353,15991,1000,-1
344,17950,2000,-1
344,7123,,
342,15991,1000,-2
340,17950,250, 2
333,22615,1, 0.5
331,17950,250,-2
327,5654,2,
327,22615,31, 0.5
326,20148,31,-2
325,20148,1, 0.5
320,20148,31, 0.5
315,22615,16, 2
304,17950,250,-1
301,17950,1, 0.5
297,17950,2000,-2
297,17950,250, 1
296,17950,31, 0.5
296,17950,31, 1
294,22615,16,-2
294,22615,1,-0.5
290,22615,0, 1
288,15991,500, 1
286,22615,31,-0.5
284,20148,63, 2
283,6346,,
282,20148,1,-0.5
282,15991,500, 2
280,15991,500,-1
277,20148,31,-0.5
276,22615,2, 1
270,20148,63,-2
265,15991,1, 0.5
261,15991,31, 0.5
260,22615,2,-1
260,15991,500,-2
257,17950,1,-0.5
256,17950,31,-1
254,22615,0,-1
254,17950,31,-0.5
249,20148,1, 2
248,14247,1000, 1
244,20148,1,-2
241,17950,1, 1
241,14247,1000, 2
229,20148,0, 1
