303828,7123,,
292489,6346,,
129101,5654,,
76029,7996,,
18395,5654,0,
13210,8975,0,
9956,5654,250,
8516,8975,500,
7262,8975,250,
4974,5654,1,
3637,8975,1,
3110,3562,0,
2861,5654,4,
2782,5037,,
2471,8975,4,
2043,6346,500, 2
2016,6346,500,-2
2012,5654,8,
1924,7123,500,-2
1882,7123,500, 2
1744,3562,250,
1740,6346,250,-2
1684,6346,250, 2
1662,5654,2,
1578,7123,250,-2
1555,8975,8,
1463,7123,250, 2
1309,5654,16,
1270,8975,2,
1214,5654,500, 2
1143,5654,250, 2
1136,5654,500,-2
1134,14247,0,
1088,6346,500,-1
1077,7123,500,-1
1068,6346,500, 1
1060,5654,250,-2
1047,7123,500, 1
997,8975,,
961,7996,500,-2
942,6346,250,-1
935,7996,500, 2
921,7123,250,-1
919,8975,16,
917,6346,250, 1
885,5654,31,
882,7123,250, 1
865,5654,500, 1
865,5654,500,-1
842,7996,500,-1
834,3562,1,
813,7996,500, 1
784,7996,250,-2
784,14247,500,
764,5654,250,-1
759,5654,250, 1
710,7996,250,-1
708,7996,250, 2
671,7996,250, 1
662,14247,250,
618,8975,31,
564,6346,0,-1
558,7123,0,-1
548,6346,0, 1
539,7123,0, 1
536,5037,500, 1
522,5037,500,-1
517,3562,4,
500,3562,16,
499,8975,500,-1
497,5654,0,-1
491,5037,250, 1
485,5654,0, 1
480,5037,250,-1
480,8975,500, 1
472,7996,0,-1
451,7996,0, 1
449,3562,8,
430,6346,0,-0.5
427,7123,0,-0.5
419,8975,250,-1
417,6346,0, 0.5
417,5654,63,
414,7123,0, 0.5
411,5654,0,-0.5
403,7996,0,-0.5
399,6346,16, 1
399,5654,0, 0.5
390,8975,250, 1
390,7996,0, 0.5
388,5037,250, 2
380,7123,16, 1
369,5037,0,-0.5
358,5037,0, 0.5
355,6346,500,-0.5
355,8975,0,-0.5
355,7123,500,-0.5
355,5037,500, 2
348,5037,250,-2
347,6346,500, 0.5
347,5037,0,-1
346,7123,500, 0.5
343,8975,0, 0.5
339,5037,0, 1
336,5654,500,-0.5
335,5654,16, 1
334,7996,500,-0.5
330,5654,500, 0.5
326,7996,500, 0.5
324,6346,16,-1
323,14247,1,
323,5037,500,-2
309,6346,250,-0.5
309,14247,4,
309,7123,16,-1
308,7123,250,-0.5
305,8975,0,-1
305,4487,0,-0.5
300,6346,250, 0.5
298,4487,0, 0.5
298,7123,250, 0.5
298,8975,63,
296,5037,500,-0.5
294,5654,250,-0.5
294,8975,500,-0.5
293,5037,500, 0.5
289,7996,250,-0.5
289,7996,16, 1
288,8975,0, 1
287,8975,500, 0.5
287,10074,0,-0.5
286,5654,250, 0.5
284,3562,2,
279,7996,250, 0.5
279,10074,0, 0.5
272,5654,16,-1
261,5037,250,-0.5
259,3562,31,
255,5037,250, 0.5
252,8975,250,-0.5
251,5654,16, 2
248,7123,4, 1
245,6346,4, 1
245,8975,250, 0.5
244,4487,500, 1
240,4487,500,-0.5
239,4487,500, 0.5
236,7996,16,-1
236,10074,500,-0.5
235,4487,250, 1
232,10074,500, 0.5
232,5037,16, 1
231,4487,500,-1
229,3998,0,-0.5
226,3998,0, 0.5
223,4487,250,-1
214,10074,500,-1
213,4487,250,-0.5
210,4487,250, 0.5
210,11308,0,-0.5
208,5654,16,-2
207,7996,4, 1
206,6346,8, 1
206,10074,500, 1
206,11308,0, 0.5
202,10074,250,-0.5
201,8975,500,-2
201,7123,8, 1
200,7996,16, 2
199,6346,4,-1
197,7123,4,-1
197,5654,4, 1
197,10074,250, 0.5
197,8975,500, 2
190,5037,16,-1
189,14247,8,
185,14247,16,
183,8975,16, 1
181,7996,16,-2
179,10074,250,-1
174,4487,0,-1
173,5654,8, 1
172,8975,250,-2
172,11308,500,-0.5
171,11308,500, 0.5
169,4487,0, 1
166,10074,250, 1
162,5654,4,-1
161,8975,250, 2
161,7996,4,-1
161,7996,0,-2
159,7996,8, 1
158,3998,250, 0.5
158,3998,250,-0.5
155,3562,0,-0.5
155,6346,1, 1
155,3562,0, 0.5
154,7123,1,-1
154,6346,8,-1
153,5037,16, 2
153,6346,1,-1
152,7123,1, 1
152,7123,8,-1
152,8975,16,-1
148,6346,31, 1
146,11308,250,-0.5
144,11308,250, 0.5
141,7123,31, 1
140,8975,4, 1
139,10074,0,-1
138,12692,0,-0.5
137,12692,0, 0.5
137,5654,1, 1
135,5654,0,-2
134,7996,0, 2
134,7123,0, 2
133,5654,1,-1
133,7996,1,-1
132,5654,125,
132,4487,16, 1
130,5037,16,-2
129,6346,31,-1
129,10074,0, 1
128,7996,1, 1
128,5037,4, 1
127,5654,8,-1
124,5654,31, 1
123,7123,31,-1
123,7996,8,-1
122,14247,2,
122,8975,16, 2
120,5654,0, 2
119,6346,16, 0.5
119,5037,8, 1
118,7123,4, 0.5
118,6346,4, 0.5
117,7123,16, 0.5
117,7123,0,-2
117,6346,1,-0.5
116,7123,1,-0.5
115,5037,0,-2
114,6346,1, 0.5
113,7123,1, 0.5
113,12692,500, 0.5
113,12692,500,-0.5
113,5654,4,-2
112,5654,8, 2
112,5654,16, 0.5
112,7996,4, 2
112,7996,4, 0.5
111,5654,1,-0.5
111,4487,16,-1
111,8975,16,-2
110,5654,4, 0.5
110,5654,31,-1
110,7996,1,-0.5
109,8975,4,-1
109,5654,1, 0.5
108,7996,31, 1
107,3562,250, 0.5
107,6346,16, 2
107,7996,16, 0.5
107,7996,1, 0.5
107,5037,4,-1
106,3562,250,-0.5
104,7996,8, 2
104,5654,4, 2
104,6346,16,-0.5
103,5037,0, 2
103,8975,8, 1
102,7123,16,-0.5
99,5037,1,-0.5
99,8975,4, 0.5
99,5037,16, 0.5
97,5037,1, 0.5
97,5654,16,-0.5
97,8975,1,-0.5
96,3562,63,
96,12692,250,-0.5
96,5037,4, 0.5
95,12692,250, 0.5
95,3173,0, 0.5
95,5037,1, 1
95,7996,31,-1
95,3173,0,-0.5
95,10074,16, 1
94,8975,1, 0.5
93,8975,125,
93,7996,16,-0.5
92,5037,1,-1
91,5654,8,-2
91,8975,16, 0.5
89,5654,31, 2
89,6346,4,-2
89,7996,8,-2
88,8975,1,-1
87,6346,8, 0.5
87,14247,31,
87,5037,8,-1
86,7123,8, 0.5
86,5037,31, 1
86,7996,4,-2
86,5037,16,-0.5
85,6346,16,-2
84,7123,4,-0.5
84,6346,4,-0.5
83,8975,1, 1
83,8975,8,-1
82,14247,0,-0.5
82,5654,8, 0.5
82,4487,1,-0.5
82,14247,0, 0.5
81,10074,4, 0.5
81,4487,16, 0.5
81,6346,2, 1
81,4487,1, 0.5
81,10074,16,-1
81,3998,250, 1
80,7123,2, 1
80,7996,8, 0.5
80,7996,4,-0.5
79,10074,1,-0.5
79,8975,16,-0.5
78,5654,4,-0.5
78,5037,31,-1
77,4487,4, 0.5
77,5654,31,-2
77,10074,1, 0.5
77,6346,0, 2
75,3998,250,-1
73,10074,4, 1
73,7996,31, 2
73,5037,8, 0.5
72,10074,16, 0.5
71,8975,4,-0.5
70,4487,16,-0.5
70,8975,8, 0.5
70,5037,8, 2
69,5654,2, 1
69,7996,31,-2
68,8975,31, 1
68,14247,500, 0.5
68,14247,500,-0.5
68,8975,0,-2
68,5037,4,-0.5
68,7123,16, 2
67,8975,4, 2
66,7996,2, 1
66,3173,250, 0.5
66,11308,500,-1
66,6346,8,-0.5
66,7123,8,-0.5
66,7123,4,-2
65,2244,0,
65,4487,8, 1
65,3173,250,-0.5
65,4487,4, 1
63,11308,500, 1
63,7123,16,-2
63,7123,4, 2
62,3998,16, 0.5
62,10074,16,-0.5
62,5037,4,-2
62,5654,8,-0.5
62,11308,4, 0.5
61,7996,8,-0.5
61,3998,1,-0.5
