68605,2518,,
51024,1587,,
36360,2244,4,
35114,1413,,
33698,5037,,
28778,3562,4,
27937,1413,4,
26815,353,,
25249,315,,
20610,630,,
19527,397,,
18996,2827,,
17801,1781,,
17354,5654,4,
15213,2244,8,
12125,3562,8,
11554,1413,8,
11389,2244,,
10819,890,4,
10617,353,4,
10147,5654,,
9016,561,4,
8033,353,8,
7529,707,,
7307,2244,2,
7098,8975,4,
7014,5654,8,
6880,561,8,
6565,6346,,
6283,2244,1,
6259,3562,1,
5979,4487,,
5949,3562,2,
5601,890,8,
5483,1413,2,
4991,223,4,
4842,1413,1,
4450,2244,16,
4428,3173,,
3959,561,,
3587,3562,0,
3569,5654,2,
3542,445,,
3490,1413,16,
3430,14247,4,
3402,3562,16,
3267,5654,1,
3198,223,8,
3124,2244,0,
3095,999,,
3045,280,,
2903,8975,8,
2901,14247,,
2759,890,,
2575,353,1,
2491,353,2,
2372,353,16,
2218,5654,0,
2067,15991,,
2064,561,16,
1885,5654,16,
1848,1999,,
1828,561,2,
1812,1999,4, 1
1781,890,2,
1776,1781,4, 1
1734,1413,0,
1712,2244,4, 1
1699,890,16,
1631,1587,4, 1
1560,140,4,
1535,1999,1, 1
1529,2518,4, 1
1464,353,0,
1463,12692,,
1462,11308,,
1460,14247,8,
1460,2518,4, 2
1449,1781,1, 1
1440,2244,1, 1
1438,1781,4,-1
1429,1999,4,-1
1393,1413,4, 1
1348,1587,4,-1
1340,2827,4, 1
1331,2244,4,-1
1293,561,1,
1273,2518,4,-2
1258,1587,4, 2
1250,1587,1, 1
1233,2518,1, 1
1207,2518,4,-1
1192,8975,2,
1163,1413,4,-1
1161,3173,4, 1
1146,10074,,
1089,2827,4,-1
1084,2827,4, 2
1082,2244,31,
1076,1587,4,-2
1050,111,,
1048,1413,4, 2
1042,223,2,
1042,1259,4, 1
1042,1122,,
1032,2827,1, 1
1016,3562,4, 1
1006,1413,1, 1
983,1781,4, 2
969,3173,4,-1
966,223,1,
952,5037,4, 2
941,3998,4, 1
930,17950,,
926,561,0,
923,22615,4,
916,4487,4, 1
915,1781,4,-2
899,2827,4,-2
895,890,1,
894,177,,
878,5037,4, 1
876,223,16,
875,1413,4,-2
874,5037,4,-2
869,1259,4,-1
867,3562,4,-1
865,3173,1, 1
851,2244,4, 2
836,3562,31,
819,3998,4,-1
819,1413,31,
812,1999,8, 1
808,4487,4,-1
791,2244,8, 1
780,8975,16,
779,5037,4,-1
776,1781,8, 1
772,5654,4, 1
762,2244,4,-2
736,1999,2,-1
733,1781,2,-1
726,5654,4, 2
721,2518,8, 1
720,3562,1, 1
717,1259,1, 1
712,198,,
711,1587,1, 2
700,1781,8,-1
700,1587,8, 1
698,1999,8,-1
689,2244,2,-1
688,2518,8, 2
685,5654,4,-1
678,1587,2,-1
670,8975,1,
664,140,8,
653,2518,0,-2
648,1587,8,-1
645,2244,8,-1
645,1122,4, 1
642,125,,
634,5654,4,-2
634,2827,8, 1
633,1587,0,-2
617,2518,2,-1
617,157,,
610,1999,0, 1
609,3998,1, 1
601,1587,8, 2
599,3998,,
595,1587,2, 2
594,2244,0, 1
589,1413,8, 1
586,6346,4, 1
581,561,31,
578,2518,1, 2
575,223,0,
574,1413,2,-1
574,2518,8,-1
572,353,4, 2
570,1781,0, 1
567,353,8, 2
564,2827,1, 2
549,397,4, 1
549,353,4, 1
547,1999,4, 2
547,2518,8,-2
546,1587,2,-2
545,1413,8,-1
545,2827,8, 2
545,4487,1, 1
543,2827,2,-1
541,3173,8, 1
538,1259,4, 2
537,1781,1, 2
536,4487,4, 2
536,1587,8,-2
533,1122,4,-1
530,1413,1, 2
530,2518,2,-2
528,8975,0,
528,1587,4, 0.5
527,2518,0, 1
522,1781,2, 1
522,1587,4,-0.5
521,2518,2, 2
519,6346,4,-1
519,1781,4,-0.5
517,1781,4, 0.5
511,1413,4, 0.5
511,2827,0,-2
508,2827,8,-1
508,1999,2, 1
507,315,4, 2
506,1999,4,-2
504,1781,0,-2
500,1413,4,-0.5
500,1587,2, 1
499,1259,4,-2
499,5037,1, 1
496,445,4, 1
492,4487,4,-2
491,1587,0, 1
484,88,4,
484,1999,4,-0.5
479,315,4, 1
476,1999,4, 0.5
474,2244,2, 1
473,1259,4, 0.5
472,1781,8, 2
470,3173,2,-1
466,1413,8, 2
466,397,8, 1
465,2244,63,
462,353,8, 1
459,1413,2, 2
458,1259,4,-0.5
458,3562,8, 1
455,1781,8,-2
454,315,4,-2
453,1781,2, 2
452,353,4,-2
450,5654,31,
449,1587,1,-2
446,14247,2,
445,353,8,-2
443,3173,8,-1
439,353,4,-1
438,2827,0, 1
437,1259,8, 1
436,2518,0, 2
433,1122,1, 1
433,2518,2, 1
432,1781,2,-2
431,1413,63,
430,890,31,
429,1413,2,-2
429,1413,2, 1
425,5654,1, 1
423,2827,2, 2
422,2827,0, 2
421,1259,2,-1
420,2827,2,-2
420,500,4, 1
420,1122,4, 0.5
419,2827,8,-2
419,2244,4,-0.5
416,397,4,-1
413,890,0,
411,445,8, 1
410,14247,16,
409,397,1, 1
407,2518,1,-2
407,140,,
406,315,4,-1
405,2244,4, 0.5
405,1413,8,-2
405,3998,8, 1
404,1413,0,-2
403,2244,8, 2
403,3562,2,-1
402,1122,4,-0.5
402,353,8,-1
398,315,8, 2
397,1259,8,-1
396,397,8,-1
394,445,1, 1
394,22615,8,
393,2244,0,-2
389,2827,2, 1
389,315,8, 1
388,1413,0, 1
387,1587,0, 2
386,397,8, 2
385,3562,8,-1
384,793,,
382,7123,4, 1
381,353,1, 1
377,4487,8, 1
374,5037,8, 2
364,1781,1,-0.5
362,1587,1,-0.5
362,1259,,
361,3998,2,-1
360,999,4, 1
360,280,4, 1
357,999,4, 0.5
357,445,4,-1
355,2827,1,-2
352,5037,8, 1
351,1781,0,-1
350,1781,0, 2
350,1999,1,-0.5
349,3998,8,-1
349,315,8,-1
347,1999,0,-1
346,561,4, 1
346,315,8,-2
346,1413,1,-0.5
345,3173,0, 1
345,500,1, 1
343,445,8,-1
343,353,0, 2
342,4487,2,-1
340,1587,1,-1
340,5037,8,-2
338,3173,2, 1
338,7123,4,-1
337,999,4,-0.5
337,1781,1,-2
337,2244,8,-2
335,2518,4,-0.5
334,4487,8,-1
334,2244,0,-1
333,1413,1,-2
333,500,8, 1
331,1587,0,-1
329,397,4, 2
325,5037,2,-1
325,1413,1,-1
325,5037,2, 2
323,280,4,-1
320,397,8,-2
320,2244,2, 2
320,2244,1,-0.5
319,1259,1,-0.5
318,6346,1, 1
318,5037,8,-1
317,2518,4, 0.5
317,5037,2,-2
316,2244,2,-2
314,3173,4, 2
313,2518,0,-1
313,1259,2, 1
313,315,1, 1
306,5654,8, 1
293,1781,1,-1
292,999,4,-1
292,630,4, 1
292,890,4, 0.5
292,500,4,-1
289,5654,8, 2
288,3562,2, 1
285,1122,1,-0.5
285,1413,0, 2
284,5654,2,-1
278,5654,8,-1
278,2827,0,-1
278,397,0, 1
277,397,4,-2
277,2518,1,-0.5
277,2244,1, 2
276,500,8,-1
276,5037,1, 2
276,561,1, 1
276,1122,8, 1
275,353,0, 1
275,2244,125,
273,280,8, 1
273,1999,0,-2
273,3562,0, 1
272,1999,8, 2
272,890,4,-0.5
271,1259,0, 1
271,1587,8, 0.5
271,1413,0,-1
271,1587,2, 0.5
270,1781,2, 0.5
270,1587,8,-0.5
269,1781,8,-0.5
269,315,0, 2
268,1781,8, 0.5
267,5654,2, 2
266,630,4, 2
263,6346,4, 2
263,561,8, 1
262,1413,8, 0.5
259,1413,2, 0.5
258,1413,8,-0.5
258,1122,2,-1
257,5654,8,-2
257,353,2,-1
256,280,8,-1
256,707,4, 1
255,3173,4,-2
255,1999,2, 0.5
255,3998,2, 1
254,3562,63,
254,397,0, 2
254,1999,8,-0.5
253,1781,2,-0.5
251,1999,8,-2
250,2827,4,-0.5
250,1999,8, 0.5
249,353,2, 2
248,397,2,-1
248,1587,2,-0.5
247,999,1, 1
247,445,0, 1
247,353,0,-2
247,999,1,-0.5
245,5654,2,-2
245,315,0,-2
244,1259,8, 0.5
243,1999,16, 1
243,1122,8,-1
242,1999,2,-0.5
242,2244,1,-2
242,890,4, 1
241,99,,
240,4487,2, 1
240,1259,2, 0.5
239,1259,1,-1
238,1259,8,-0.5
238,561,4,-1
237,1999,1,-1
236,1999,2, 2
235,2244,16, 1
233,3998,0, 1
233,1781,16, 1
232,2518,1,-1
232,1413,2,-0.5
232,6346,8, 1
232,5654,1, 2
231,793,4, 0.5
231,3173,1, 2
230,793,4, 1
230,7996,4, 1
230,250,4, 1
229,2827,1,-1
228,315,0, 1
228,890,63,
228,2827,4, 0.5
228,2827,1,-0.5
228,5037,2, 1
227,315,2,-1
227,1999,16,-1
226,2244,2, 0.5
225,1259,8, 2
224,140,2,
223,2244,8,-0.5
222,280,1, 1
221,6346,4,-2
221,1999,2,-2
221,353,2,-2
221,1781,16,-1
221,4487,0, 1
220,1122,8, 0.5
220,353,1, 2
