95331,22615,,
51340,20148,,
43106,14247,8,
41134,14247,4,
32157,22615,8,
30736,22615,4,
29986,14247,2,
29527,17950,,
28149,999,,
24159,14247,16,
22232,22615,2,
21688,890,1,
21094,890,2,
19786,15991,,
18655,890,,
18244,22615,16,
18241,8975,8,
16925,890,0,
16666,8975,4,
13925,890,4,
13050,8975,2,
11844,14247,,
10033,22615,500,
10011,8975,16,
9836,1413,1,
9514,14247,500,
9455,1413,2,
8523,1122,,
7826,1413,0,
7708,561,1,
7519,12692,,
7469,561,2,
7099,5654,8,
6929,3998,,
6592,5654,2,
6570,793,,
6415,5654,4,
6370,22615,250,
6207,1413,4,
6005,561,0,
5851,14247,250,
5827,14247,31,
5175,22615,1000,
5076,890,8,
4894,561,4,
4774,3562,2,
4322,3562,,
4318,22615,31,
4291,11308,,
4195,3562,4,
3981,14247,1000,
3555,3562,8,
3508,14247,0,
3283,5654,16,
2981,4487,,
2720,10074,,
2715,8975,31,
2708,22615,0,
2510,1413,8,
2175,8975,500,
2075,14247,63,
1888,8975,,
1850,22615,63,
1798,2244,2,
1694,561,8,
1661,8975,250,
1651,8975,0,
1566,2244,4,
1518,3562,16,
1417,7996,,
1389,890,16,
1330,14247,1,
1129,2244,8,
1121,14247,125,
1043,7123,,
1014,5654,31,
1003,8975,63,
998,22615,125,
978,707,,
961,22615,1,
923,5654,0,
860,2244,0,
831,2244,1,
818,3173,,
792,6346,,
762,1413,16,
748,5037,,
745,8975,1,
722,5654,,
712,3562,0,
634,22615,8, 1
618,22615,8, 2
615,22615,1000, 2
614,8975,125,
607,20148,8, 0.5
605,3562,31,
591,22615,8, 0.5
586,17950,8, 0.5
577,22615,500, 2
572,353,1,
563,561,,
549,22615,16, 1
547,353,2,
545,20148,1000, 2
543,20148,8, 1
537,15991,8, 0.5
533,20148,16, 1
533,22615,4, 2
521,22615,2000, 2
513,890,63,
490,22615,4, 1
489,20148,2000, 2
487,5654,250,
485,22615,8,-2
484,20148,4, 0.5
481,22615,16, 2
477,22615,4, 0.5
473,20148,16, 0.5
470,22615,500,-2
469,2244,16,
468,14247,8, 0.5
464,561,16,
461,17950,4, 0.5
460,17950,16, 0.5
460,22615,4,-2
455,353,0,
455,22615,16, 0.5
444,999,2, 1
443,999,1, 1
440,5654,63,
439,22615,1000,-2
421,15991,16, 0.5
421,17950,16, 1
418,15991,4, 0.5
414,1122,1, 1
412,1122,2, 1
408,20148,500, 2
408,999,2,-1
401,890,2, 1
397,890,1, 1
395,20148,1000,-2
389,999,1,-1
389,1122,2,-1
387,20148,4, 1
385,12692,8, 0.5
376,17950,8, 1
374,1122,1,-1
370,22615,2, 2
369,353,4,
368,22615,250, 2
367,22615,500, 1
362,14247,16, 0.5
361,20148,500, 1
360,14247,4, 0.5
358,890,2,-1
355,999,0, 1
354,5654,1,
350,890,31,
344,20148,1000, 1
342,890,1,-1
341,22615,16,-2
337,5654,125,
334,22615,2,-2
332,20148,2, 0.5
332,1122,0, 1
331,999,2, 0.5
328,22615,2, 0.5
326,22615,250,-2
326,999,1, 0.5
325,22615,2, 1
325,890,2, 0.5
323,22615,1000, 1
323,20148,500,-2
321,1122,2, 0.5
320,890,1, 0.5
318,17950,2, 0.5
317,890,0, 1
316,630,,
314,22615,4,-1
314,1122,1, 0.5
313,20148,500,-1
312,17950,1000, 2
311,999,4, 1
311,22615,500,-1
305,999,4,-1
303,793,2, 1
302,17950,1000, 1
302,793,2, 0.5
299,793,1, 0.5
297,793,1, 1
297,11308,8, 0.5
296,999,2,-0.5
294,17950,500, 1
293,1259,2, 0.5
293,12692,4, 0.5
291,1122,2,-0.5
291,12692,16, 0.5
291,1259,1, 1
290,15991,2, 0.5
289,22615,4,-0.5
288,999,0,-1
287,22615,8,-1
287,999,1,-0.5
286,1259,2, 1
286,890,2,-0.5
286,1122,4, 1
286,15991,16, 1
285,1122,4,-1
284,890,4, 1
284,3562,63,
282,1259,1, 0.5
280,1122,1,-0.5
279,890,1,-0.5
279,1122,0,-1
278,20148,4,-0.5
278,1259,2,-1
271,17950,500,-1
271,890,4,-1
271,1259,1,-1
269,1259,2,-0.5
267,3562,1,
265,793,2,-1
264,707,2, 0.5
264,20148,1000,-1
264,793,2,-0.5
262,707,1, 0.5
259,793,1,-0.5
255,1259,1,-0.5
254,793,1,-1
253,17950,4,-0.5
253,890,0,-1
253,14247,2, 0.5
253,999,0, 0.5
249,1413,2, 0.5
249,22615,1000,-1
248,890,0, 0.5
248,17950,2000, 2
246,20148,2, 1
246,22615,8,-0.5
245,17950,1000,-2
244,17950,4, 1
243,1122,0, 0.5
239,22615,2,-1
238,22615,250, 1
237,793,0, 1
234,1413,1, 0.5
233,1259,0, 1
233,15991,8, 1
232,17950,1000,-1
231,793,0, 0.5
231,20148,8,-0.5
231,999,4, 0.5
229,707,2,-0.5
229,20148,31, 1
229,1413,2,-0.5
228,20148,250, 2
227,20148,250, 1
226,707,1,-0.5
226,890,4, 0.5
225,1122,4, 0.5
223,20148,2000, 1
221,11308,4, 0.5
221,15991,4,-0.5
221,3562,250,
219,22615,2000,-2
219,793,4, 1
219,1259,0, 0.5
218,22615,2,-0.5
218,999,0,-0.5
217,1259,,
217,11308,16, 0.5
216,1413,31,
216,22615,2000, 1
216,15991,1000, 1
215,1413,63,
215,630,2, 0.5
214,10074,8, 0.5
214,630,1, 0.5
212,1413,1,-0.5
212,890,0,-0.5
212,1122,0,-0.5
211,20148,2,-0.5
210,20148,2000,-2
210,12692,2, 0.5
209,793,4, 0.5
209,22615,31, 1
208,22615,250,-1
207,999,4,-0.5
207,17950,8,-0.5
207,1259,4, 0.5
205,20148,4,-1
204,22615,31, 2
204,1122,4,-0.5
204,1259,0,-1
203,20148,250,-2
203,707,0, 0.5
203,17950,31, 1
201,890,4,-0.5
200,15991,500,-1
200,793,4,-1
199,1259,4, 1
199,17950,500, 2
198,20148,250,-1
197,15991,500, 1
197,1259,4,-1
197,793,0,-0.5
197,1587,2, 0.5
195,2244,31,
194,17950,2,-0.5
193,1259,0,-0.5
189,793,0,-1
188,1259,4,-0.5
186,15991,1000, 2
186,20148,500, 0.5
185,14247,4,-0.5
185,793,4,-0.5
185,630,2,-0.5
184,22615,500, 0.5
183,1122,1, 2
183,707,4, 0.5
182,630,1,-0.5
181,1122,2, 2
181,1413,0, 0.5
181,3562,125,
180,20148,500,-0.5
180,15991,8,-0.5
179,20148,8,-1
179,17950,500, 0.5
179,1587,2,-0.5
178,1413,4, 0.5
178,17950,250, 1
177,17950,500,-0.5
176,1587,1, 0.5
176,17950,2000, 1
176,22615,500,-0.5
175,1122,2,-2
174,14247,16, 1
173,707,0,-0.5
172,20148,2000,-1
172,999,2,-2
172,707,2, 1
172,17950,500,-2
171,15991,2,-0.5
170,22615,2000,-1
169,15991,1000,-1
167,707,1, 1
166,1122,1,-2
165,630,0, 0.5
164,15991,500,-0.5
164,15991,500, 0.5
164,11308,2, 0.5
162,1413,4,-0.5
161,2827,,
161,1413,0,-0.5
161,707,4,-0.5
160,20148,2,-1
160,1587,1,-0.5
159,561,2, 0.5
159,561,1, 0.5
158,22615,16,-1
158,17950,250,-1
154,10074,4, 0.5
154,999,4,-2
152,20148,31, 0.5
151,15991,1000,-2
151,14247,8,-0.5
151,17950,31, 0.5
150,999,1, 2
149,10074,16, 0.5
148,999,1,-2
148,630,4, 0.5
148,15991,31, 1
147,22615,31,-2
147,707,2,-1
147,1781,2, 0.5
146,12692,4,-0.5
146,17950,2, 1
146,1122,0, 2
145,999,2, 2
145,1587,4, 0.5
144,20148,16, 2
144,14247,2,-0.5
144,14247,500,-0.5
143,22615,31, 0.5
143,8975,8, 0.5
143,20148,16,-2
143,14247,500, 0.5
142,20148,8,-2
142,20148,8, 2
142,707,1,-1
141,15991,31, 0.5
140,15991,4, 1
140,630,0,-0.5
140,1413,1, 1
139,14247,8, 1
137,1587,0, 0.5
136,999,8, 1
136,17950,2000,-1
136,1413,2,-1
135,14247,1000, 1
135,1413,2, 1
135,1413,1,-1
135,353,8,
135,999,8,-1
135,561,2,-0.5
133,561,1,-0.5
132,890,63, 2
132,707,0, 1
130,890,63,-2
130,1122,4,-2
130,1781,2,-0.5
130,14247,500,-1
129,630,4,-0.5
129,1587,4,-0.5
128,1122,4, 2
127,707,4, 1
125,890,8, 1
125,1122,8, 1
125,20148,250, 0.5
124,999,0, 2
123,561,31,
123,14247,31, 0.5
123,22615,250, 0.5
122,561,0, 0.5
122,1122,8,-1
122,17950,2000,-2
122,890,8,-1
122,1122,0,-2
121,12692,8,-0.5
121,1587,0,-0.5
121,20148,1000, 0.5
121,10074,2, 0.5
120,17950,250, 0.5
120,1781,1, 0.5
119,17950,1000, 0.5
119,20148,4, 2
118,20148,4,-2
117,22615,1000, 0.5
116,12692,500,-0.5
116,14247,1000, 2
116,12692,500, 0.5
115,12692,2,-0.5
114,15991,500, 2
114,14247,500, 1
113,1413,0, 1
113,1781,4, 0.5
113,15991,250, 1
112,20148,1000,-0.5
111,17950,1000,-0.5
111,890,4,-2
111,14247,1000,-1
111,15991,250, 0.5
110,15991,1000, 0.5
110,561,4, 0.5
109,707,4,-1
108,15991,500,-2
108,22615,1000,-0.5
108,1999,2, 0.5
108,20148,16,-1
107,1781,1,-0.5
107,500,1, 0.5
107,500,2, 0.5
107,20148,250,-0.5
107,11308,4,-0.5
107,793,63, 2
106,20148,31, 2
106,22615,63, 2
106,22615,250,-0.5
106,707,0,-1
105,22615,63,-2
104,17950,4,-1
104,15991,1000,-0.5
103,17950,250,-0.5
103,15991,250,-1
102,561,0,-0.5
102,1413,0,-1
101,22615,16,-0.5
101,999,0,-2
101,12692,31, 0.5
100,8975,4, 0.5
98,890,2,-2
98,14247,1000,-2
98,999,4, 2
97,1781,4,-0.5
96,12692,16, 1
96,1413,4, 1
95,793,8, 1
95,14247,250, 0.5
95,15991,250,-0.5
94,22615,125, 2
94,14247,1000, 0.5
94,1781,0, 0.5
94,2244,63,
93,561,4,-0.5
93,8975,16, 0.5
92,17950,250, 2
92,14247,31, 1
92,1413,4,-1
92,1999,2,-0.5
92,20148,16,-0.5
92,1259,2, 2
91,11308,8,-0.5
91,1259,1, 2
91,14247,1000,-0.5
91,999,63,-2
90,793,8,-1
90,7996,8, 0.5
89,17950,8,-1
88,11308,500, 0.5
88,3998,2, 1
88,500,2,-0.5
88,999,8, 0.5
88,1999,4, 0.5
88,1259,8, 1
87,500,1,-0.5
87,11308,500,-0.5
87,17950,250,-2
86,1122,8, 0.5
86,793,63,-2
86,890,8, 0.5
86,1413,,
85,11308,2,-0.5
84,8975,2, 0.5
84,999,8,-2
84,999,63, 2
84,3562,2, 1
84,17950,2,-1
83,1259,2,-2
83,2244,2, 0.5
83,1259,8,-1
83,14247,4, 1
83,12692,8, 1
82,1259,1,-2
82,500,0, 0.5
82,1781,0,-0.5
82,20148,31,-2
82,14247,250,-0.5
82,20148,2, 2
81,20148,2,-2
81,22615,125,-2
81,12692,1000, 1
80,999,8,-0.5
80,500,,
80,17950,16,-0.5
80,22615,31,-1
80,1259,8, 0.5
80,793,8, 0.5
79,15991,2, 1
79,3998,4, 1
79,20148,31,-1
79,1122,8,-0.5
78,12692,500,-1
78,890,8,-0.5
77,11308,31, 0.5
77,12692,250, 0.5
76,890,8,-2
76,4487,2, 1
75,3562,4, 1
75,12692,1000, 0.5
75,12692,1000,-0.5
74,14247,500, 2
74,1999,1, 0.5
74,890,1,-2
74,14247,500,-2
74,500,4, 0.5
73,20148,125, 2
73,2244,4, 0.5
73,793,8,-0.5
72,1259,8,-0.5
72,1999,4,-0.5
72,1259,0, 2
72,2518,2, 0.5
72,1999,,
71,10074,4,-0.5
70,1413,8, 0.5
70,20148,63, 1
70,890,2, 2
69,3562,2, 0.5
69,707,8, 0.5
69,22615,0, 2
69,12692,1000, 2
69,12692,1000,-1
69,3173,2, 0.5
69,15991,16,-0.5
68,2827,2, 0.5
68,17950,16,-1
68,22615,63, 1
68,2244,2,-0.5
68,4487,4, 1
68,3998,2, 0.5
68,890,1, 2
67,500,0,-0.5
67,2518,4, 0.5
66,3173,4, 0.5
66,17950,31,-1
66,2244,,
66,1999,1,-0.5
66,1259,4, 2
65,2827,4, 0.5
65,12692,250,-0.5
65,3562,4, 0.5
65,445,1, 0.5
65,1781,,
65,445,2, 0.5
64,793,4, 2
64,1259,0,-2
64,22615,63,-1
63,707,8,-0.5
63,10074,500, 0.5
63,10074,8,-0.5
